id,number,displayName,addressLine1,addressLine2,city,state,country,postalCode,phoneNumber,email,website,taxRegistrationNumber,currencyId,currencyCode,irs1099Code,paymentTermsId,paymentMethodId,taxLiable,blocked,balance,lastModifiedDateTime,defaultDimensions,company_id,company_name
8809e0da-6fdf-f011-8542-7c1e524ecf66,PR0031,Publica LLC,"12 East 49th Street, Manhattan",,New York,,US,,,billing@getpublica.com,,812232339,00000000-0000-0000-0000-000000000000,EUR,,b78d30a0-90c3-f011-bbd1-6045bdf486d0,77eacb8d-991d-f111-8340-000d3abf4b29,False,_x0020_,0,2026-04-20T16:33:03.003Z,"[{'@odata.etag': 'W/""JzIwOzE1Nzg5MTQ4MTkxMzk3NTI0NzI4MTswMDsn""', 'id': '7bb120b3-e837-f111-bec2-6045bd925213', 'parentType': 'Vendor', 'parentId': '8809e0da-6fdf-f011-8542-7c1e524ecf66', 'dimensionId': '2d9cca52-daeb-f011-8542-00224888763f', 'dimensionCode': 'CTRY', 'dimensionValueId': 'f3677e76-dbeb-f011-8542-00224888763f', 'dimensionValueCode': 'US', 'postingValidation': '_x0020_', 'lastModifiedDateTime': '2026-04-14T10:00:01.733Z'}]",e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
8b09e0da-6fdf-f011-8542-7c1e524ecf66,PR0032,Regus Business Centres Italia Srl,Via Gaetano De Castilla,,,,IT,,,marseille.prado@hq.com,,13209120156,00000000-0000-0000-0000-000000000000,EUR,,b78d30a0-90c3-f011-bbd1-6045bdf486d0,95390b7f-991d-f111-8340-000d3abf4b29,False,_x0020_,0,2026-04-20T16:33:03.03Z,"[{'@odata.etag': 'W/""JzIwOzE0MTg2NjA4NDk2MDg5NDE0NTM1MTswMDsn""', 'id': 'a163f9bf-e837-f111-bec2-6045bd925213', 'parentType': 'Vendor', 'parentId': '8b09e0da-6fdf-f011-8542-7c1e524ecf66', 'dimensionId': '2d9cca52-daeb-f011-8542-00224888763f', 'dimensionCode': 'CTRY', 'dimensionValueId': '9f677e76-dbeb-f011-8542-00224888763f', 'dimensionValueCode': 'IT', 'postingValidation': '_x0020_', 'lastModifiedDateTime': '2026-04-14T10:00:28.47Z'}]",e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
8e09e0da-6fdf-f011-8542-7c1e524ecf66,PR0033,Six P SRL,VIA Ceresio 7/9,,Milano,,IT,,,INFO@CERESIO7.COM,,07972920966,00000000-0000-0000-0000-000000000000,EUR,,b78d30a0-90c3-f011-bbd1-6045bdf486d0,95390b7f-991d-f111-8340-000d3abf4b29,False,_x0020_,0,2026-04-20T16:33:03.057Z,"[{'@odata.etag': 'W/""JzIwOzE3ODc0NjY5NDg0MzgwMjA1MTE5MTswMDsn""', 'id': '09f373c7-e837-f111-bec2-6045bd925213', 'parentType': 'Vendor', 'parentId': '8e09e0da-6fdf-f011-8542-7c1e524ecf66', 'dimensionId': '2d9cca52-daeb-f011-8542-00224888763f', 'dimensionCode': 'CTRY', 'dimensionValueId': '9f677e76-dbeb-f011-8542-00224888763f', 'dimensionValueCode': 'IT', 'postingValidation': '_x0020_', 'lastModifiedDateTime': '2026-04-14T10:00:43.23Z'}]",e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
9109e0da-6fdf-f011-8542-7c1e524ecf66,PR0034,"Suzy, Inc.",228 Park Ave South PMB 85529,PMB 85529,New York,,US,,,ar@suzy.com,,452873420,00000000-0000-0000-0000-000000000000,EUR,,b78d30a0-90c3-f011-bbd1-6045bdf486d0,77eacb8d-991d-f111-8340-000d3abf4b29,False,_x0020_,0,2026-04-20T16:33:03.09Z,"[{'@odata.etag': 'W/""JzIwOzEzODI0MjAzMjI2ODM0NzY5MzUwMTswMDsn""', 'id': '50a7d42c-e937-f111-bec2-6045bd925213', 'parentType': 'Vendor', 'parentId': '9109e0da-6fdf-f011-8542-7c1e524ecf66', 'dimensionId': '2d9cca52-daeb-f011-8542-00224888763f', 'dimensionCode': 'CTRY', 'dimensionValueId': 'f3677e76-dbeb-f011-8542-00224888763f', 'dimensionValueCode': 'US', 'postingValidation': '_x0020_', 'lastModifiedDateTime': '2026-04-14T10:03:29.047Z'}]",e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
9409e0da-6fdf-f011-8542-7c1e524ecf66,PR0035,TappX,Rossello i Porcel 21 15B,,Barcelona,,ES,,,jcastellet@tappx.com,,B66162124,00000000-0000-0000-0000-000000000000,EUR,,b78d30a0-90c3-f011-bbd1-6045bdf486d0,95390b7f-991d-f111-8340-000d3abf4b29,False,_x0020_,0,2026-04-20T16:33:03.117Z,"[{'@odata.etag': 'W/""JzIwOzE2MTQxOTQ1OTI5Mzk3NzkyMjQzMTswMDsn""', 'id': 'e1c11b33-e937-f111-bec2-6045bd925213', 'parentType': 'Vendor', 'parentId': '9409e0da-6fdf-f011-8542-7c1e524ecf66', 'dimensionId': '2d9cca52-daeb-f011-8542-00224888763f', 'dimensionCode': 'CTRY', 'dimensionValueId': '81677e76-dbeb-f011-8542-00224888763f', 'dimensionValueCode': 'ES', 'postingValidation': '_x0020_', 'lastModifiedDateTime': '2026-04-14T10:03:44.797Z'}]",e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
9709e0da-6fdf-f011-8542-7c1e524ecf66,PR0036,The Media Sense,PO Box 87,Kibbutz Afikim,,,IL,,,katharine@themediasense.com,,516258399,00000000-0000-0000-0000-000000000000,EUR,,b78d30a0-90c3-f011-bbd1-6045bdf486d0,77eacb8d-991d-f111-8340-000d3abf4b29,False,_x0020_,0,2026-04-20T16:33:03.147Z,"[{'@odata.etag': 'W/""JzE5OzUyNjc5OTE0NTQyNjEwODE3ODQxOzAwOyc=""', 'id': 'fbe88841-e937-f111-bec2-6045bd925213', 'parentType': 'Vendor', 'parentId': '9709e0da-6fdf-f011-8542-7c1e524ecf66', 'dimensionId': '2d9cca52-daeb-f011-8542-00224888763f', 'dimensionCode': 'CTRY', 'dimensionValueId': '97677e76-dbeb-f011-8542-00224888763f', 'dimensionValueCode': 'IL', 'postingValidation': '_x0020_', 'lastModifiedDateTime': '2026-04-14T10:04:02.193Z'}]",e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
9a09e0da-6fdf-f011-8542-7c1e524ecf66,PR0037,Existem Events LTD,1 Victoria Street,,Bristol,,GB,,,,,GB927472502,00000000-0000-0000-0000-000000000000,EUR,,b78d30a0-90c3-f011-bbd1-6045bdf486d0,15cec438-be18-f111-8406-000d3abf8171,False,_x0020_,0,2026-04-20T16:33:03.18Z,"[{'@odata.etag': 'W/""JzIwOzEyMjk1ODM3MTE1MjYzMzgzOTQ1MTswMDsn""', 'id': 'eab28c4e-e937-f111-bec2-6045bd925213', 'parentType': 'Vendor', 'parentId': '9a09e0da-6fdf-f011-8542-7c1e524ecf66', 'dimensionId': '2d9cca52-daeb-f011-8542-00224888763f', 'dimensionCode': 'CTRY', 'dimensionValueId': '88677e76-dbeb-f011-8542-00224888763f', 'dimensionValueCode': 'GB', 'postingValidation': '_x0020_', 'lastModifiedDateTime': '2026-04-14T10:04:22.477Z'}]",e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
9d09e0da-6fdf-f011-8542-7c1e524ecf66,PR0038,Interactive Advertising Bureau  (IAB Europe),Rond-Point Robert Schuman 11,Brussels 1040,Brussels,,BE,,,,,BE0812047277,00000000-0000-0000-0000-000000000000,EUR,,b78d30a0-90c3-f011-bbd1-6045bdf486d0,95390b7f-991d-f111-8340-000d3abf4b29,False,_x0020_,0,2026-04-20T16:33:03.21Z,"[{'@odata.etag': 'W/""JzE5OzUzMDQzNzU2MTgwMzQ1MDcwMjQxOzAwOyc=""', 'id': 'a15fd351-7b39-f111-bec2-7c1e524db16d', 'parentType': 'Vendor', 'parentId': '9d09e0da-6fdf-f011-8542-7c1e524ecf66', 'dimensionId': '2d9cca52-daeb-f011-8542-00224888763f', 'dimensionCode': 'CTRY', 'dimensionValueId': '2d3ea348-dbeb-f011-8542-00224888763f', 'dimensionValueCode': 'BE', 'postingValidation': '_x0020_', 'lastModifiedDateTime': '2026-04-16T10:02:10.773Z'}]",e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
a009e0da-6fdf-f011-8542-7c1e524ecf66,PR0039,XPLN.ai,AVENUE CHARLES DE GAULLE 92522,CEDEX,NEUILLY-SUR-SEINE,,FR,,,invoice@xpln.ai,,FR33914974332,00000000-0000-0000-0000-000000000000,EUR,,b78d30a0-90c3-f011-bbd1-6045bdf486d0,95390b7f-991d-f111-8340-000d3abf4b29,False,_x0020_,0,2026-04-20T16:33:03.24Z,"[{'@odata.etag': 'W/""JzE4Ozk5MjcyMzg2NDcyMzI4MzgzOTE7MDA7Jw==""', 'id': '3c29975f-7b39-f111-bec2-7c1e524db16d', 'parentType': 'Vendor', 'parentId': 'a009e0da-6fdf-f011-8542-7c1e524ecf66', 'dimensionId': '2d9cca52-daeb-f011-8542-00224888763f', 'dimensionCode': 'CTRY', 'dimensionValueId': '84677e76-dbeb-f011-8542-00224888763f', 'dimensionValueCode': 'FR', 'postingValidation': '_x0020_', 'lastModifiedDateTime': '2026-04-16T10:02:35.81Z'}]",e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
a309e0da-6fdf-f011-8542-7c1e524ecf66,PR0040,Vevo UK Limited,"3rd Floor, 3 Pancras Square",N1C 4AG,London,,GB,,,,,GB113943820,00000000-0000-0000-0000-000000000000,EUR,,b78d30a0-90c3-f011-bbd1-6045bdf486d0,15cec438-be18-f111-8406-000d3abf8171,False,_x0020_,0,2026-04-20T16:33:03.267Z,"[{'@odata.etag': 'W/""JzIwOzE3ODk4Nzc4ODcxNDI4Njk2MTgyMTswMDsn""', 'id': '3cec9672-7b39-f111-bec2-7c1e524db16d', 'parentType': 'Vendor', 'parentId': 'a309e0da-6fdf-f011-8542-7c1e524ecf66', 'dimensionId': '2d9cca52-daeb-f011-8542-00224888763f', 'dimensionCode': 'CTRY', 'dimensionValueId': '88677e76-dbeb-f011-8542-00224888763f', 'dimensionValueCode': 'GB', 'postingValidation': '_x0020_', 'lastModifiedDateTime': '2026-04-16T10:03:05.367Z'}]",e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
a609e0da-6fdf-f011-8542-7c1e524ecf66,PR0041,Video Solutions AG,Zählerweg 12,6300,Zug,,CH,,,,,CHE-401.833.677,00000000-0000-0000-0000-000000000000,EUR,,b78d30a0-90c3-f011-bbd1-6045bdf486d0,15cec438-be18-f111-8406-000d3abf8171,False,_x0020_,0,2026-04-20T16:33:03.3Z,"[{'@odata.etag': 'W/""JzIwOzExMzczNjEyODU1MTQwNTI5NDU4MTswMDsn""', 'id': '8132cd80-7b39-f111-bec2-7c1e524db16d', 'parentType': 'Vendor', 'parentId': 'a609e0da-6fdf-f011-8542-7c1e524ecf66', 'dimensionId': '2d9cca52-daeb-f011-8542-00224888763f', 'dimensionCode': 'CTRY', 'dimensionValueId': '6a677e76-dbeb-f011-8542-00224888763f', 'dimensionValueCode': 'CH', 'postingValidation': '_x0020_', 'lastModifiedDateTime': '2026-04-16T10:03:28.723Z'}]",e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
e6278518-c2fd-f011-8405-000d3aaa8b47,PR0042,OMG Solutions GmbH,Grünstraße 15 ,,Düsseldorf,,DE,D-40212,,Abrechnung.Solutions@omnicommediagroup.com; maike.philine.pietsch@annalect.com;,,DE175219210,00000000-0000-0000-0000-000000000000,EUR,,b78d30a0-90c3-f011-bbd1-6045bdf486d0,95390b7f-991d-f111-8340-000d3abf4b29,False,_x0020_,0,2026-04-20T16:33:03.33Z,"[{'@odata.etag': 'W/""JzIwOzExMDAzMjE1MjUzOTY4NTEyMTUwMTswMDsn""', 'id': 'c016c58c-7b39-f111-bec2-7c1e524db16d', 'parentType': 'Vendor', 'parentId': 'e6278518-c2fd-f011-8405-000d3aaa8b47', 'dimensionId': '2d9cca52-daeb-f011-8542-00224888763f', 'dimensionCode': 'CTRY', 'dimensionValueId': '79677e76-dbeb-f011-8542-00224888763f', 'dimensionValueCode': 'DE', 'postingValidation': '_x0020_', 'lastModifiedDateTime': '2026-04-16T10:03:48.153Z'}]",e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
e9278518-c2fd-f011-8405-000d3aaa8b47,PR0043,Mediaplus Germany GmbH & Co.KG,Friedenstraße 24,,Munich,,DE,81671,,mediaplus@house-of-communication.com; t.drexl@house-of-communication.com,,DE223194893,00000000-0000-0000-0000-000000000000,EUR,,b78d30a0-90c3-f011-bbd1-6045bdf486d0,95390b7f-991d-f111-8340-000d3abf4b29,False,_x0020_,0,2026-04-20T16:33:03.36Z,"[{'@odata.etag': 'W/""JzIwOzEyOTk4NTYwNTAwNzAxOTYyMTg4MTswMDsn""', 'id': '217cb79e-7b39-f111-bec2-7c1e524db16d', 'parentType': 'Vendor', 'parentId': 'e9278518-c2fd-f011-8405-000d3aaa8b47', 'dimensionId': '2d9cca52-daeb-f011-8542-00224888763f', 'dimensionCode': 'CTRY', 'dimensionValueId': '79677e76-dbeb-f011-8542-00224888763f', 'dimensionValueCode': 'DE', 'postingValidation': '_x0020_', 'lastModifiedDateTime': '2026-04-16T10:04:17.667Z'}]",e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
ec278518-c2fd-f011-8405-000d3aaa8b47,PR0044,adlicious GmbH,Winterstraße 2,,Hamburg,,DE,22765,,shana.reincke@adlicious.me,,DE293217918,00000000-0000-0000-0000-000000000000,EUR,,b78d30a0-90c3-f011-bbd1-6045bdf486d0,95390b7f-991d-f111-8340-000d3abf4b29,False,_x0020_,0,2026-04-20T16:33:03.393Z,"[{'@odata.etag': 'W/""JzE5OzU3MTk1ODA2NDAyMDUzNjk1OTgxOzAwOyc=""', 'id': '08fcafa4-7b39-f111-bec2-7c1e524db16d', 'parentType': 'Vendor', 'parentId': 'ec278518-c2fd-f011-8405-000d3aaa8b47', 'dimensionId': '2d9cca52-daeb-f011-8542-00224888763f', 'dimensionCode': 'CTRY', 'dimensionValueId': '79677e76-dbeb-f011-8542-00224888763f', 'dimensionValueCode': 'DE', 'postingValidation': '_x0020_', 'lastModifiedDateTime': '2026-04-16T10:04:33.407Z'}]",e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
ef278518-c2fd-f011-8405-000d3aaa8b47,PR0045,DENTSU UK LIMITED Amplifi trading division,10 TRITON STREET,,,,GB,NW1 3BF,,uk.creditcontrol@dentsuaegis.com,,GB466430542,00000000-0000-0000-0000-000000000000,EUR,,b78d30a0-90c3-f011-bbd1-6045bdf486d0,15cec438-be18-f111-8406-000d3abf8171,False,_x0020_,83400,2026-04-20T16:33:03.417Z,"[{'@odata.etag': 'W/""JzE5OzU5ODkxODc3ODE0NTc4NzA1NTUxOzAwOyc=""', 'id': '60d796b6-7b39-f111-bec2-7c1e524db16d', 'parentType': 'Vendor', 'parentId': 'ef278518-c2fd-f011-8405-000d3aaa8b47', 'dimensionId': '2d9cca52-daeb-f011-8542-00224888763f', 'dimensionCode': 'CTRY', 'dimensionValueId': '88677e76-dbeb-f011-8542-00224888763f', 'dimensionValueCode': 'GB', 'postingValidation': '_x0020_', 'lastModifiedDateTime': '2026-04-16T10:04:56.703Z'}]",e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
